Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,69.195,68.638,68.538,68.487,68.54,68.602,69.025,69.834,70.54,71.174,71.607,72.945,74.069,74.185,73.731,74.045,74.838,74.808,74.836,74.842,74.691,74.814,75.156,74.678,74.573,74.844,75.389,75.492,75.915,74.209,76.13,76.788
Central Europe and the Baltics,63.0862571580566,62.983833760991,62.3809858853525,61.8189375272197,61.1002539459063,60.5693363451804,60.3743662974426,60.1291618424335,60.1226672791804,60.4623875548745,60.4995261620693,58.9302524851482,58.6464013686429,58.4934599165853,58.2451163983972,58.3446752994863,58.2630263965134,58.5176761155764,59.002071010144,59.621454710475,59.6813913038644,60.5313951167653,61.028929157214,62.0185210662326,62.4802989276534,62.8585216407363,63.9614314527456,64.4653081514891,64.8494643920722,64.869308316086,65.9878120525924,67.1039732587303
Switzerland,63.434,64.024,65.02,64.444,64.596,70.181,70.506,71.972,72.148,71.553,73.144,73.708,73.997,73.783,74.166,74.631,74.906,76.519,76.961,75.246,76.133,76.566,76.992,77.914,78.546,79.339,79.171,79.717,80.066,79.845,79.669,79.235
Channel Islands,56.608,56.943,56.656,56.647,57.194,58.351,59.152,59.616,60.561,60.628,62.179,64.476,65.393,65.386,64.743,64.071,63.191,63.863,65.031,64.947,63.495,63.988,64.223,64.393,64.615,65.035,65.201,65.337,65.655,64.914,65.497,65.449
Chile,34.734,36.37,37.32,38.033,39.402,40.444,41.354,41.806,42.205,41.855,40.889,40.695,42.178,43.795,44.91,46.141,47.221,49.527,50.21,51.244,53.347,53.836,53.981,54.78,54.802,54.732,55.408,56.224,56.337,52.601,54.163,58.229
China,78.861,78.609,78.383,78.148,77.901,77.635,77.347,77.078,76.81,76.514,75.926,75.308,74.664,73.995,73.309,72.64,71.979,71.306,70.632,69.971,70.088,69.899,69.771,69.814,69.898,69.961,69.969,69.992,70.107,69.06,71.021,70.909
Cote d'Ivoire,48.538,48.588,48.651,48.722,48.813,48.846,48.872,48.905,49.348,49.786,50.222,50.651,51.077,51.502,51.923,52.343,52.762,53.183,53.607,54.032,54.458,54.882,55.304,55.727,56.156,56.591,57.033,57.481,57.935,57.393,58.251,58.029
Cameroon,78.822,78.784,78.738,78.739,78.756,78.766,78.789,78.82,78.856,78.893,78.913,78.934,78.957,78.989,79.007,79.009,79.022,76.64,74.082,71.353,70.447,69.537,68.619,67.693,67.722,67.752,67.788,67.833,67.884,67.233,67.331,67.836
"Congo, Dem. Rep.",72.488,72.415,72.338,72.297,72.303,72.273,72.251,72.252,72.245,72.224,72.178,72.155,72.147,72.147,72.149,70.964,69.751,68.513,67.249,65.958,64.641,63.303,63.304,63.318,63.336,63.328,63.342,63.379,63.427,62.823,63.308,63.511
"Congo, Rep.",67.299,67.374,67.445,67.496,67.571,67.635,67.684,67.736,67.752,67.787,67.786,67.809,67.817,67.818,67.816,67.825,67.791,67.79,67.801,67.821,67.749,67.719,67.688,67.688,67.677,67.674,67.703,67.747,67.817,66.868,67.594,67.627
Colombia,53.83,54.329,55.065,55.88,56.592,56.737,57.149,57.051,56.049,56.397,56.541,55.494,56.973,56.236,54.393,53.884,53.389,53.905,57.702,58.229,58.908,60.121,59.48,59.306,59.728,59.298,59.077,58.049,57.285,56.176,57.09,56.349
Comoros,32.525,32.549,32.567,32.584,32.637,32.681,32.749,32.822,32.929,33.085,33.208,33.339,33.451,33.542,33.592,33.643,33.693,33.737,33.775,33.808,33.84,33.874,33.914,33.962,34.025,34.082,34.163,34.265,34.373,34.052,34.399,34.329
Cabo Verde,44.388,44.728,45.064,45.404,45.751,46.108,46.478,46.857,47.241,47.671,48.153,48.655,49.177,49.71,50.246,50.782,51.32,51.859,52.397,52.846,53.305,53.777,54.275,54.814,55.382,55.999,56.684,52.985,55.15,52.43,53.72,55.272
Costa Rica,35.434,34.819,35.795,37.2,38.051,36.535,39.742,42.188,42.857,41.62,44.794,44.482,44.894,43.265,47.538,47.032,48.299,48.436,49.005,48.443,50.608,55.962,55.848,56.16,54.996,50.945,51.131,54.191,58.484,54.531,56.621,57.025
Caribbean small states,56.0223489347761,56.2957635560314,56.2616035899059,56.2707692141739,56.3176389151545,56.4471813523312,56.3209208823295,56.0035157153584,55.4602979151853,55.2622636105312,54.8726641361418,54.8845010295301,55.270418533113,55.845414612905,56.3310990670417,56.5394283738092,56.2405887104918,56.5165432512299,55.4719645506513,54.7106247305231,54.9674894390063,55.954085921756,56.4426927992742,57.0570250154633,58.6978156578169,58.6777916035525,59.0858695812123,58.9711201662349,59.293912045946,57.2756725418984,58.9516985899139,58.6476771740065
Cuba,41.454,40.038,38.194,38.314,38.634,39.618,39.978,40.005,40.757,41.537,41.994,42.326,42.981,43.854,45.326,46.874,47.844,48.419,49.958,49.546,49.481,49.951,50.374,50.525,51.111,51.135,51.348,51.649,51.618,48.585,49.935,51.124
Cyprus,48.901,49.58,50.398,51.182,51.965,52.755,53.56,54.38,55.213,56.052,59.237,60.121,61.57,60.995,61.121,62.349,64.057,64.337,65.022,66.463,66.3,66.185,66.744,68.913,68.126,66.691,67.648,68.696,68.937,68.075,69.874,72.079
Czechia,63.789,63.819,63.846,64.306,64.039,63.51,63.678,63.931,64.054,63.586,63.151,62.655,62.459,62.134,62.312,62.295,61.428,61.104,61.588,61.623,62.202,63.494,65.065,65.619,66.448,67.648,68.681,69.648,69.839,69.306,69.929,70.35
Germany,61.708,61.421,61.155,61.499,61.386,61.6,62.014,62.334,63.126,63.277,64.03,64.38,65.218,65.208,67.797,69.389,70.19,70.456,71.104,71.218,72.259,72.203,72.888,73.193,73.237,74.569,75.021,75.168,76.197,75.162,75.247,76.173
Djibouti,15.842,15.9,15.993,16.082,16.139,16.223,16.265,16.289,16.341,16.436,16.497,16.594,16.724,16.869,17.015,17.249,17.489,17.736,17.981,18.215,18.351,18.465,18.566,18.671,18.787,18.855,18.954,19.078,19.193,18.747,19.047,19.266
Denmark,78.391,79.236,78.456,73.816,72.682,73.973,74.231,74.83,75.517,75.594,74.41,75.304,74.453,75.685,75.528,76.348,76.073,75.234,75.075,74.482,74.379,74.166,73.913,73.262,73.474,74.573,75.005,75.279,76.035,75.897,76.345,77.976
Dominican Republic,36.608,37.661,38.338,38.52,39.037,39.587,40.468,41.144,41.744,42.209,40.775,42.652,41.68,41.617,42.259,43.247,42.971,44.635,41.569,44.635,46.541,48.081,48.139,48.566,51.51,52.203,52.467,54.163,55.954,50.772,55.206,54.804
Algeria,11.604,11.736,11.887,12.058,12.25,12.466,12.648,12.823,12.989,13.158,13.331,13.507,13.685,13.865,14.049,14.235,14.425,14.618,14.816,15.041,15.937,16.869,17.745,15.984,17.516,18.262,18.166,18.073,18.016,16.948,17.621,18.049
